;taxno;taxno1;taxno2;Number;Genus;taxon;species;Subspecies;full.name;Lifecycle;PLOIDY;no_ploidy_lev;more_ploidies;ploidy_level;holoploid;monoploid;NewAPGFamily;Order;HigherGroup;reg_nat_main;reg_nat_island;reg_nat_total;GloNAF_incidence;reg_no_invasive;GloNAF_invasive;glonaf_3group;ploidy_level;ploidy_level_single
Acacia_heterophylla;angiosperms;1angiosperms;2angiosperms;692;Acacia;heterophylla;Acacia_heterophylla;;Acacia heterophylla ;P;D_P;2;2,4;2,4;2.395;1.1975;Fabaceae;Fabales;E;NA;1;1;1;NA;0;1;2,4;2
Acacia_senegal;angiosperms;1angiosperms;2angiosperms;885;Acacia;senegal;Acacia_senegal;;Acacia senegal ;P;D_P;2;2,4;2,4;2.05;1.025;Fabaceae;Fabales;E;NA;2;2;1;NA;0;1;2,4;2
Acer_campestre;angiosperms;1angiosperms;2angiosperms;634;Acer;campestre;Acer_campestre;;Acer campestre ;P;D_P;2;2,4;2,4;2.04;1.02;Sapindaceae;Sapindales;E;20;3;23;1;NA;0;1;2,4;2
Agapanthus_africanus;angiosperms;1angiosperms;2angiosperms;829;Agapanthus;africanus;Agapanthus_africanus;;Agapanthus africanus ;P;D_P;2;2,3;2,3;34.97;17.485;Amaryllidaceae;Asparagales;M;12;NA;12;1;NA;0;1;2,3;2
Agave_americana;angiosperms;1angiosperms;2angiosperms;222;Agave;americana;Agave_americana;;Agave americana ;P;D_P;2;2,4;2,4;10.29;5.145;Asparagaceae;Asparagales;M;87;27;114;1;5;1;2;2,4;2
Agave_gigantensis;angiosperms;1angiosperms;2angiosperms;164;Agave;gigantensis;Agave_gigantensis;;Agave gigantensis ;P;D_P;2;2,4;2,4;12.05;6.025;Asparagaceae;Asparagales;M;NA;NA;NA;0;NA;0;0;2,4;2
Agave_victoriae-reginae;angiosperms;1angiosperms;2angiosperms;482;Agave;victoriae-reginae;Agave_victoriae-reginae;;Agave victoriae-reginae ;P;D_P;2;2,6;2,6;16;8;Asparagaceae;Asparagales;M;NA;NA;NA;0;NA;0;0;2,6;2
Achillea_crithmifolia;angiosperms;1angiosperms;2angiosperms;326;Achillea;crithmifolia;Achillea_crithmifolia;;Achillea crithmifolia ;P;D_P;2;2,4;2,4;7.7;3.85;Asteraceae;Asterales;E;5;NA;5;1;NA;0;1;2,4;2
Alisma_plantago-aquatica;angiosperms;1angiosperms;2angiosperms;269.04;Alisma;plantago-aquatica;Alisma_plantago-aquatica;;Alisma plantago-aquatica ;P;D_P;2;2,4;2,4;25.98;12.99;Alismataceae;Alismatales;M;21;4;25;1;NA;0;1;2,4;2
Allium_akaka;angiosperms;1angiosperms;2angiosperms;193;Allium;akaka;Allium_akaka;;Allium akaka ;P;D_P;2;2,4;2,4;57.05;28.525;Amaryllidaceae;Asparagales;M;5;5;10;1;1;1;2;2,4;2
Allium_angulosum;angiosperms;1angiosperms;2angiosperms;299;Allium;angulosum;Allium_angulosum;;Allium angulosum ;P;D_P;2;2,4;2,4;35.7;17.85;Amaryllidaceae;Asparagales;M;NA;NA;NA;0;NA;0;0;2,4;2
Allium_carinatum;angiosperms;1angiosperms;2angiosperms;80;Allium;carinatum;Allium_carinatum;;Allium carinatum ;P;D_P;2;2,3;2,3;27.55;13.775;Amaryllidaceae;Asparagales;M;NA;NA;NA;0;NA;0;0;2,3;2
Allium_flavum;angiosperms;1angiosperms;2angiosperms;336;Allium;flavum;Allium_flavum;subsp. flavum;Allium flavum subsp. flavum;P;D_P;2;2,4;2,4;33.15;16.575;Amaryllidaceae;Asparagales;M;NA;NA;NA;0;NA;0;0;2,4;2
Allium_lineare;angiosperms;1angiosperms;2angiosperms;299;Allium;lineare;Allium_lineare;;Allium lineare ;P;D_P;2;2,6;2,6;35.75;17.875;Amaryllidaceae;Asparagales;M;NA;NA;NA;0;NA;0;0;2,6;2
